#{"t_start": 1759841860.184843, "env_id": "None"}
r,l,t
-4.0,2,1052.336062
-4.0,2,1052.613723
-199.0,42,1055.41494
-4.0,2,1055.566527
-371.0,75,1060.525726
-4.0,2,1060.710978
-4.0,2,1060.912581
-4.0,2,1061.09856
-4.0,2,1061.252566
-12.0,4,1061.513635
-4.0,2,1061.683653
-167.0,34,1063.951481
-33.0,8,1064.711594
-4.0,2,1064.880286
-4.0,2,1065.003552
-20.0,6,1065.479185
-4.0,2,1065.678949
-4.0,2,1065.863941
-8.0,3,1066.12676
-12.0,4,1066.479387
-4.0,2,1066.61731
-4.0,2,1066.757837
-4.0,2,1066.944625
-4.0,2,1067.082169
-8.0,3,1067.344861
-4.0,2,1067.531102
64.0,9,1068.16386
-33.0,8,1068.656237
-4.0,2,1068.918564
-4.0,2,1069.244936
-376.0,75,1074.076031
-4.0,2,1074.230791
-4.0,2,1074.370139
-58.0,13,1075.1422
-79.0,17,1076.361904
-4.0,2,1076.518134
-4.0,2,1076.657923
-8.0,3,1076.842923
-4.0,2,1076.99712
-75.0,16,1078.05718
-8.0,3,1078.352739
-75.0,16,1079.544298
-4.0,2,1079.683845
-366.0,75,1084.187842
-32.0,9,1084.897809
-88.0,18,1086.532702
-4.0,2,1086.74955
-4.0,2,1086.950904
-126.0,25,1088.48273
-46.0,10,1089.258597
-4.0,2,1089.535847
-291.0,60,1093.576758
-4.0,2,1093.791726
-25.0,6,1094.130805
-366.0,75,1098.613812
-16.0,5,1099.080003
-8.0,3,1099.389296
-4.0,2,1099.560965
-29.0,7,1100.132913
-371.0,75,1105.729894
-112.0,43,1108.316065
-4.0,2,1108.45473
-4.0,2,1108.855465
-4.0,2,1109.041271
-28.0,8,1109.595746
-4.0,2,1109.830047
-361.0,75,1115.000356
-4.0,2,1115.184011
-4.0,2,1115.526907
-4.0,2,1115.663637
-4.0,2,1115.867319
-4.0,2,1116.190729
-4.0,2,1116.390891
-4.0,2,1116.59233
-4.0,2,1116.764634
-4.0,2,1117.02847
47.0,12,1117.865465
-371.0,75,1148.072909
-8.0,3,1148.319493
-131.0,49,1151.498709
43.0,13,1152.381928
-4.0,2,1152.504669
68.0,8,1153.045762
-366.0,75,1158.044341
-25.0,6,1158.461951
-66.0,15,1159.532548
-21.0,5,1159.858743
-4.0,2,1160.059891
-4.0,2,1160.245102
-21.0,5,1160.556214
-386.0,75,1165.22654
-12.0,4,1165.567465
-25.0,6,1165.923501
-376.0,75,1170.776929
-67.0,14,1171.687945
-4.0,2,1171.856894
-12.0,4,1172.135935
-376.0,75,1176.851814
-63.0,13,1177.750421
-21.0,5,1178.103967
-8.0,3,1178.319222
-4.0,2,1178.457102
-8.0,3,1178.856537
-4.0,2,1179.104108
-376.0,75,1184.249906
-361.0,75,1189.886855
-75.0,16,1191.023938
-4.0,2,1191.272917
-21.0,5,1191.689074
-376.0,75,1196.618517
-4.0,2,1196.820587
-4.0,2,1196.974951
-33.0,8,1197.715951
-8.0,3,1198.072273
-4.0,2,1198.319828
-4.0,2,1198.521077
-371.0,75,1203.677119
-8.0,3,1203.909172
-16.0,5,1204.295746
34.0,14,1205.201172
-53.0,13,1206.00182
-4.0,2,1206.204987
-87.0,19,1207.379958
64.0,9,1208.118629
-376.0,75,1212.937016
-92.0,19,1214.30773
-20.0,6,1214.724785
-381.0,75,1219.826986
-4.0,2,1220.043141
-16.0,5,1220.460603
-4.0,2,1220.660553
-83.0,18,1221.940082
-4.0,2,1222.108796
-371.0,75,1227.23974
-4.0,2,1227.469919
-8.0,3,1227.827107
-8.0,3,1228.199195
-8.0,3,1228.477274
-16.0,5,1228.911326
-371.0,75,1233.868684
-8.0,3,1234.129021
-12.0,4,1234.512622
-371.0,75,1239.887758
64.0,9,1240.488444
-371.0,75,1245.698483
-4.0,2,1245.882567
-376.0,75,1250.897145
-4.0,2,1251.065953
-63.0,13,1251.834382
-8.0,3,1252.036968
-50.0,11,1252.869732
-4.0,2,1253.01147
-4.0,2,1253.16829
-157.0,34,1255.497024
-4.0,2,1255.819907
56.0,11,1256.590082
-4.0,2,1256.758673
-4.0,2,1257.065968
-4.0,2,1257.250585
-113.0,23,1258.736448
-4.0,2,1258.906671
-25.0,6,1259.492349
-50.0,11,1260.459688
-366.0,75,1265.602149
-4.0,2,1265.773333
-37.0,9,1266.548107
-4.0,2,1266.715894
